"day","total"
"1618790400.0","-1576.9945808449124"
"1618617600.0","-936.5849100560699"
"1618531200.0","-650.368528758582"
"1618444800.0","-224.9778276088914"
"1618358400.0","185.14174539562504"
"1618272000.0","1142.224617207526"
"1618185600.0","-136.62012428445001"
"1618099200.0","59.89495921905"
"1618012800.0","680.992387214975"
"1617926400.0","1062.97689315675"
"1617840000.0","617.5143480535"
"1617753600.0","-478.12036870400004"
"1617667200.0","793.919932704175"
"1617580800.0","-17.417253965249998"
"1617494400.0","1835.0212573410001"
"1617408000.0","-297.6202264677"
"1617321600.0","1245.41026258065"
"1617235200.0","-322.6603411175"
"1617148800.0","-95.61670396"
"1617062400.0","282.95926342"
"1616976000.0","857.7512180567501"
"1616803200.0","-185.91143409863548"
"1616457600.0","18.07385846183"
"1616371200.0","-1182.9927909521753"
"1616284800.0","-319.62962646000005"
"1616198400.0","-86.94990847"
"1616112000.0","274.2968837"
"1616025600.0","-999.8913665684651"
" Total","1543.8216341951997"
