"day","total"
"1617667200.0","-36.74287298"
"1617580800.0","-17.417253965249998"
"1617494400.0","1835.0212573410001"
"1617408000.0","-297.6202264677"
"1617321600.0","1245.41026258065"
"1617235200.0","-322.6603411175"
"1617148800.0","-95.61670396"
"1617062400.0","282.95926342"
" Total","2593.3333848512"
